R,Z,A_phi,Br,Bz
5.222479673453110927e-01,1.616409443804301196e-02,7.805488796384089933e-02,-1.810935353241451993e-03,4.765232699662305671e-02
5.194454364826300852e-01,1.944543648263005742e-02,7.763650448359385448e-02,-2.205844642145370939e-03,4.796193254603801220e-02
5.161640944380430085e-01,2.224796734531105449e-02,7.714265593493636886e-02,-2.511730990486348968e-03,4.835839590547019035e-02
5.124847387428375090e-01,2.450267941518011541e-02,7.658442459007920589e-02,-2.703893650545970140e-03,4.881179361788526294e-02
5.084979673453110527e-01,2.615405419811672391e-02,7.597052076761719175e-02,-2.919081086725968006e-03,4.928885459672324720e-02
5.043019477886063751e-01,2.716142936636628882e-02,7.532331322063838541e-02,-3.048584017954636058e-03,4.974736794683447261e-02
5.000000000000000000e-01,2.750000000000000014e-02,7.464290229984033020e-02,-3.076143303445630101e-03,5.019761652003042890e-02
4.956980522113936805e-01,2.716142936636628882e-02,7.396448087496207413e-02,-3.116757910751703168e-03,5.064245152254911314e-02
4.915020326546889473e-01,2.615405419811672391e-02,7.329023537126963528e-02,-3.010028691261428836e-03,5.118031655249535156e-02
4.875152612571624910e-01,2.450267941518011888e-02,7.264336463053475135e-02,-2.895932129758561034e-03,5.173476210594626229e-02
4.838359055619569915e-01,2.224796734531105449e-02,7.203964497409207079e-02,-2.665087718673105847e-03,5.219225417402271333e-02
4.805545635173699703e-01,1.944543648263005742e-02,7.149806380097854797e-02,-2.249059883187420200e-03,5.256885108964169662e-02
4.777520326546889629e-01,1.616409443804301543e-02,7.103605628115644555e-02,-1.811330393436031902e-03,5.286515297453236312e-02
4.754973205848198603e-01,1.248473874283753844e-02,7.066487513656359576e-02,-1.431475435133823049e-03,5.313820907821738965e-02
4.738459458018832726e-01,8.497967345311056159e-03,7.038664673557548657e-02,-1.021257933296383993e-03,5.332341288303431293e-02
4.728385706336337146e-01,4.301947788606351637e-03,7.021481426080855570e-02,-5.288352536653436820e-04,5.341871940692848736e-02
4.724999999999999756e-01,3.367778697655221181e-18,7.015483015660685384e-02,2.968617425108648072e-05,5.345355423582590082e-02
4.728385706336337146e-01,-4.301947788606344698e-03,7.021300685405813813e-02,5.125140331488631500e-04,5.339430640736989031e-02
4.738459458018832726e-01,-8.497967345311040546e-03,7.038143890957623827e-02,9.898495291336814259e-04,5.326759291381254202e-02
4.754973205848198603e-01,-1.248473874283753324e-02,7.065976111469807197e-02,1.439610066482464087e-03,5.308217839523306225e-02
4.777520326546889629e-01,-1.616409443804300849e-02,7.103576282198469094e-02,1.856666304382679090e-03,5.280827878522154767e-02
4.805545635173699148e-01,-1.944543648263005395e-02,7.150138201703323815e-02,2.242868670469402078e-03,5.249292616970269165e-02
4.838359055619569915e-01,-2.224796734531105102e-02,7.203985757753215979e-02,2.609691827295515867e-03,5.216820459915699759e-02
4.875152612571624355e-01,-2.450267941518011541e-02,7.264245623367003579e-02,2.899335388740935989e-03,5.177089680207901806e-02
